Country Name,GDP per Capita ($US)
Aruba,39492.85908
Afghanistan,1976.363239
Angola,6657.853891
Albania,12943.4455
Andorra,
Arab World,16986.7333
United Arab Emirates,74035.24746
Argentina,20828.87632
Armenia,9667.959344
American Samoa,
Antigua and Barbuda,23522.11803
Australia,49378.27964
Austria,53879.29785
Azerbaijan,17449.94008
Burundi,735.4502248
Belgium,49366.67634
Benin,2276.496205
Burkina Faso,1866.160998
Bangladesh,3877.032452
Bulgaria,20948.09706
Bahrain,47708.05549
Bahamas,30494.74629
Bosnia and Herzegovina,13107.72156
Belarus,18895.59379
Belize,8525.127994
Bermuda,
Bolivia,7575.681951
Brazil,15553.40159
Barbados,18559.33537
Brunei,79003.42528
Bhutan,9391.539182
Botswana,17024.17
Central African Republic,727.4859709
Canada,46509.71703
Central Europe and the Baltics,29632.33319
Switzerland,66307.38403
Channel Islands,
Chile,24747.30715
China,16842.40797
Cote d'Ivoire,3944.751162
Cameroon,3722.431175
DR Congo,889.0956447
Congo,5454.263865
Colombia,14503.32619
Comoros,2751.02017
Cabo Verde,6912.638447
Costa Rica,17109.751
Caribbean small states,15809.10119
Cuba,
Curacao,
Cayman Islands,58302.51441
Cyprus,36012.37464
Czech Republic,38019.58051
Germany,52555.93264
Djibouti,
Dominica,10037.42586
Denmark,54356.44827
Dominican Republic,16063.64067
Algeria,15292.73866
East Asia & Pacific (excluding high income),14937.26842
Early-demographic dividend,9796.886703
East Asia & Pacific,18124.46557
Europe & Central Asia (excluding high income),20780.94101
Europe & Central Asia,33522.1232
Ecuador,11612.04504
Egypt,11608.37645
Euro area,45075.94883
Eritrea,
Spain,39037.4328
Estonia,33447.82772
Ethiopia,1903.238494
European Union,42516.70452
Fragile and conflict affected situations,4456.760306
Finland,46343.57722
Fiji,9574.878654
France,44032.89807
Faroe Islands,
Micronesia,3700.793857
Gabon,18113.29628
England,44920.45173
Georgia,10674.46085
Ghana,4501.852769
Gibraltar,
Guinea,2247.020357
Gambia,1699.114677
Guinea-Bissau,1703.831155
Equatorial Guinea,24439.21606
Greece,28582.84558
Grenada,15155.846
Greenland,
Guatemala,8167.549284
Guam,
Guyana,8179.923334
High income,47892.70425
Hong Kong,61670.7546
Honduras,4996.812797
Heavily indebted poor countries (HIPC),2399.24419
Croatia,26295.5123
Haiti,1818.794784
Hungary,28798.64256
IBRD only,13837.60399
IDA & IBRD total,11286.31864
IDA total,3813.17435
IDA blend,5392.072039
Indonesia,12309.62612
IDA only,3018.718753
Isle of Man,
India,7166.201575
Not classified,
Ireland,76744.70732
Iran,20884.73795
Iraq,16935.06579
Iceland,55322.08459
Israel,38867.7616
Italy,40923.70222
Jamaica,9065.611971
Jordan,9172.777011
Japan,42066.5763
Kazakhstan,26490.84245
Kenya,3292.403633
Kyrgyzstan,3735.434844
Cambodia,4017.570725
Kiribati,2185.046068
Saint Kitts and Nevis,28636.36346
South Korea,38824.11539
Kuwait,72095.68138
Latin America & Caribbean (excluding high income),14931.76529
Laos,7038.276195
Lebanon,14512.68887
Liberia,1285.303706
Libya,19672.95961
Saint Lucia,13985.95485
Latin America & Caribbean,15925.51713
Least developed countries: UN classification,2795.561567
Low income,2158.149036
Liechtenstein,
Sri Lanka,12862.57087
Lower middle income,7252.971465
Low & middle income,11013.1608
Lesotho,2932.03068
Late-demographic dividend,17829.08231
Lithuania,33252.67683
Luxembourg,107640.5592
Latvia,28362.01204
Macao,115367.3844
St. Martin (French part),
Morocco,8225.027425
Monaco,
Moldova,5710.817708
Madagascar,1558.344808
Maldives,16688.21349
Middle East & North Africa,19951.05359
Mexico,18655.92173
Marshall Islands,4246.919797
Middle income,12189.62027
Macedonia,15290.335
Mali,2218.212688
Malta,40796.75925
Myanmar,6173.77692
Middle East & North Africa (excluding high income),13609.4196
Montenegro,19354.92982
Mongolia,12945.82089
Northern Mariana Islands,
Mozambique,1250.242948
Mauritania,3958.059763
Mauritius,22356.15667
Malawi,1204.748346
Malaysia,29511.44283
North America,58567.05
Namibia,10470.87947
New Caledonia,
Niger,1018.75992
Nigeria,5887.171819
Nicaragua,5854.569736
Netherlands,54422.00802
Norway,62182.84214
Nepal,2702.416419
Nauru,15039.31681
New Zealand,40747.60986
OECD members,44034.66506
Oman,41331.18028
Other small states,25966.13144
Pakistan,5539.107494
Panama,24520.86738
Peru,13462.73931
Philippines,8360.509005
Palau,14854.05738
Papua New Guinea,4207.707208
Poland,29923.70957
Pre-demographic dividend,3850.879482
Puerto Rico,39092.4729
North Korea,
Portugal,32554.29802
Paraguay,13109.34358
West Bank and Gaza,4895.709215
Pacific island small states,5963.433846
Post-demographic dividend,46994.25819
French Polynesia,
Qatar,128646.7602
Romania,26660.20328
Russia,25763.2592
Rwanda,2043.495733
South Asia,6579.476905
Saudi Arabia,53893.14761
Sudan,4913.981553
Senegal,3457.530864
Singapore,94104.70379
Solomon Islands,2426.922561
Sierra Leone,1530.372787
El Salvador,8023.049133
San Marino,63548.59149
Somalia,499.82
Serbia,15431.90348
Sub-Saharan Africa (excluding high income),3835.628714
South Sudan,1525.3
Sub-Saharan Africa,3837.931394
Small states,22930.6788
Sao Tome and Principe,3358.548379
Suriname,15191.19495
Slovakia,32371.22295
Slovenia,36387.46435
Sweden,51404.78539
Eswatini,8659.161548
Sint Maarten (Dutch part),
Seychelles,29327.56629
Syria,2684
Turks and Caicos Islands,
Chad,1945.294997
East Asia & Pacific (IDA & IBRD countries),15095.05809
Europe & Central Asia (IDA & IBRD countries),21589.31943
Togo,1663.426643
Thailand,17910.14892
Tajikistan,3201.770991
Turkmenistan,18030.94961
Latin America & the Caribbean (IDA & IBRD countries),15839.62312
Timor-Leste,7228.1686
Middle East & North Africa (IDA & IBRD countries),13719.64285
Tonga,5969.183778
South Asia (IDA & IBRD),6579.476905
Sub-Saharan Africa (IDA & IBRD countries),3837.931394
Trinidad and Tobago,31644.68496
Tunisia,11936.22895
Turkey,28001.82768
Tuvalu,3933.273852
Tanzania,2947.800184
Uganda,1868.180713
Ukraine,8698.65318
Upper middle income,17871.38691
Uruguay,22610.34234
United States,59927.93029
Uzbekistan,6879.568017
Saint Vincent and the Grenadines,11769.16971
Venezuela,
British Virgin Islands,
US Virgin Islands,
Vietnam,6790.211396
Vanuatu,3214.638669
World,17099.65446
Samoa,6640.700237
