Country,Rank,Bsk.M,Bsk.W,Crk.M,Crk.W,Ftb.M,Ftb.W,Hck.M,Hck.W,Rgb.M,Rgb.W,Vbl.M,Vbl.W,Wtp.M,Wtp.W,Bsk.Avg,Crk.Avg,Ftb.Avg,Hck.Avg,Rgb.Avg,Vbl.Avg,Wtp.Avg,M.Total,W.Total,Total,M.Rat,W.Rat,SGDPPC
Finland,1,21,#N/A,65,#N/A,56,32,#N/A,#N/A,27,91,19,75,#N/A,#N/A,21,65,44,#DIV/0!,59,47,#DIV/0!,5,3,8,0.625,0.375,46343.57722
Norway,2,88,#N/A,30,#N/A,48,12,#N/A,#N/A,37,95,79,82,#N/A,#N/A,88,30,30,#DIV/0!,66,80.5,#DIV/0!,5,3,8,0.625,0.375,62182.84214
Denmark,3,69,#N/A,27,44,10,17,#N/A,#N/A,40,78,63,77,#N/A,#N/A,69,35.5,13.5,#DIV/0!,59,70,#DIV/0!,5,4,9,0.555555556,0.444444444,54356.44827
Iceland,4,50,#N/A,#N/A,#N/A,35,22,#N/A,#N/A,#N/A,#N/A,82,67,#N/A,#N/A,50,#DIV/0!,28.5,#DIV/0!,#DIV/0!,74.5,#DIV/0!,3,2,5,0.6,0.4,55322.08459
Switzerland,5,65,#N/A,#N/A,#N/A,9,18,30,#N/A,29,31,64,57,#N/A,#N/A,65,#DIV/0!,13.5,30,30,60.5,#DIV/0!,5,3,8,0.625,0.375,66307.38403
Netherlands,6,41,#N/A,14,23,15,8,3,1,10,25,15,7,26,12,41,18.5,11.5,2,17.5,11,19,7,6,13,0.538461538,0.461538462,54422.00802
Canada,7,23,5,26,#N/A,78,5,10,21,3,21,6,18,15,8,14,26,41.5,15.5,12,12,11.5,7,6,13,0.538461538,0.461538462,46509.71703
New Zealand,8,38,42,6,3,119,19,8,6,1,1,46,116,27,16,40,4.5,69,7,1,81,21.5,7,7,14,0.5,0.5,40747.60986
Sweden,9,54,41,40,#N/A,17,9,#N/A,#N/A,18,49,60,146,#N/A,#N/A,47.5,40,13,#DIV/0!,33.5,103,#DIV/0!,5,4,9,0.555555556,0.444444444,51404.78539
Australia,10,11,3,4,1,43,6,2,3,8,6,16,32,9,7,7,2.5,24.5,2.5,7,24,8,7,7,14,0.5,0.5,49378.27964
Israel,11,35,60,63,#N/A,82,63,#N/A,#N/A,65,61,62,53,#N/A,#N/A,47.5,63,72.5,#DIV/0!,63,57.5,#DIV/0!,5,4,9,0.555555556,0.444444444,38867.7616
Austria,12,55,#N/A,35,#N/A,26,23,19,31,43,88,38,73,31,#N/A,55,35,24.5,25,65.5,55.5,31,7,4,11,0.636363636,0.363636364,53879.29785
Costa Rica,13,94,#N/A,56,#N/A,39,36,#N/A,#N/A,119,97,48,39,#N/A,#N/A,94,56,37.5,#DIV/0!,108,43.5,#DIV/0!,5,3,8,0.625,0.375,17109.751
Ireland,14,106,#N/A,15,10,#N/A,#N/A,11,8,7,3,#N/A,113,#N/A,#N/A,106,12.5,#DIV/0!,9.5,5,113,#DIV/0!,4,4,8,0.5,0.5,76744.70732
Germany,15,22,58,37,31,11,2,6,5,20,28,27,15,24,25,40,34,6.5,5.5,24,21,24.5,7,7,14,0.5,0.5,52555.93264
Belgium,16,29,16,54,50,1,20,1,13,24,27,12,19,#N/A,#N/A,22.5,52,10.5,7,25.5,15.5,#DIV/0!,6,6,12,0.5,0.5,49366.67634
Luxembourg,17,97,#N/A,42,#N/A,91,113,#N/A,#N/A,57,59,76,92,#N/A,#N/A,97,42,102,#DIV/0!,58,84,#DIV/0!,5,3,8,0.625,0.375,107640.5592
